Comment,Designator,Footprint,LCSC
Conn_01x01_Socket,D13,SolderWirePad_1x01_SMD_0.5x2mm_1,
MountingHole_Pad,H1,MountingHole_3mm_2-56_DIN965_Pad,
MountingHole_Pad,H4,MountingHole_3mm_2-56_DIN965_Pad,
MountingHole_Pad,H3,MountingHole_3mm_2-56_DIN965_Pad,
MountingHole_Pad,H2,MountingHole_3mm_2-56_DIN965_Pad,
DB25_Plug,J99,Norcomp-380-025-113L001-microd_Updated,
DB25_Plug,J26,Norcomp-380-025-113L001-microd_Updated,
Conn_01x01_Socket,12,SolderWirePad_1x01_SMD_0.258x2mm,
Conn_01x01_Socket,11,SolderWirePad_1x01_SMD_0.258x2mm,
Conn_01x01_Socket,10,SolderWirePad_1x01_SMD_0.258x2mm,
Conn_01x01_Socket,25,SolderWirePad_1x01_SMD_0.258x2mm,
Conn_01x01_Socket,24,SolderWirePad_1x01_SMD_0.258x2mm,
Conn_01x01_Socket,22,SolderWirePad_1x01_SMD_0.5x2mm_1,
Conn_01x01_Socket,21,SolderWirePad_1x01_SMD_0.258x2mm,
Conn_01x01_Socket,20,SolderWirePad_1x01_SMD_0.258x2mm,
Conn_01x01_Socket,19,SolderWirePad_1x01_SMD_0.5x2mm_1,
Conn_01x01_Socket,17,SolderWirePad_1x01_SMD_0.258x2mm,
Conn_01x01_Socket,16,SolderWirePad_1x01_SMD_0.5x2mm_1,
Conn_01x01_Socket,15,SolderWirePad_1x01_SMD_0.258x2mm,
Conn_01x01_Socket,14,SolderWirePad_1x01_SMD_0.5x2mm_1,
Conn_01x01_Socket,18,SolderWirePad_1x01_SMD_0.5x2mm_1,
Conn_01x01_Socket,23,SolderWirePad_1x01_SMD_0.5x2mm_1,
