Comment,Designator,Footprint,LCSC
Conn_01x01_Socket,D25,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,D24,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,D22,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,D21,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,D20,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,D19,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,D17,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,D16,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,D15,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,D14,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,D13,SolderWirePad_1x01_SMD_0.5x2mm_1,
Conn_01x01_Socket,D8,SolderWirePad_1x01_SMD_0.5x2mm_1,
Conn_01x01_Socket,D3,SolderWirePad_1x01_SMD_0.5x2mm_1,
Conn_01x01_Socket,J25,SolderWirePad_1x01_SMD_0.5x2mm_1,
Conn_01x01_Socket,J24,SolderWirePad_1x01_SMD_0.5x2mm_1,
Conn_01x01_Socket,J23,SolderWirePad_1x01_SMD_0.5x2mm_1,
Conn_01x01_Socket,J22,SolderWirePad_1x01_SMD_0.5x2mm_1,
Conn_01x01_Socket,J21,SolderWirePad_1x01_SMD_0.5x2mm_1,
Conn_01x01_Socket,J20,SolderWirePad_1x01_SMD_0.5x2mm_1,
Conn_01x01_Socket,J19,SolderWirePad_1x01_SMD_0.5x2mm_1,
Conn_01x01_Socket,J18,SolderWirePad_1x01_SMD_0.5x2mm_1,
Conn_01x01_Socket,J17,SolderWirePad_1x01_SMD_0.5x2mm_1,
Conn_01x01_Socket,J16,SolderWirePad_1x01_SMD_0.5x2mm_1,
Conn_01x01_Socket,J15,SolderWirePad_1x01_SMD_0.5x2mm_1,
Conn_01x01_Socket,J14,SolderWirePad_1x01_SMD_0.5x2mm_1,
Conn_01x01_Socket,J13,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,J12,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,J11,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,J10,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,J9,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,J8,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,J7,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,J6,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,J5,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,J4,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,J3,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,J2,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,J1,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,D23,SolderWirePad_1x01_SMD_0.5x2mm_1,
Conn_01x01_Socket,D18,SolderWirePad_1x01_SMD_0.5x2mm_1,
Conn_01x01_Socket,D12,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,D11,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,D10,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,D9,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,D7,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,D6,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,D5,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,D4,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,D2,SolderWirePad_1x01_SMD_0.7x2mm,
Conn_01x01_Socket,D1,SolderWirePad_1x01_SMD_0.7x2mm,
MountingHole_Pad,H1,MountingHole_3mm_2-56_DIN965_Pad,
MountingHole_Pad,H4,MountingHole_3mm_2-56_DIN965_Pad,
MountingHole_Pad,H3,MountingHole_3mm_2-56_DIN965_Pad,
MountingHole_Pad,H2,MountingHole_3mm_2-56_DIN965_Pad,
DB25_Plug,J99,Norcomp-380-025-113L001-microd_Updated,
DB25_Plug,J26,Norcomp-380-025-113L001-microd_Updated,
